Employee_ID,First_Name,Last_Name,Email,Department,Salary,Annual_Performance,Country,Location,Age,Education
2QRFUFI5,Dillon,Byrd,dillon.david@mycompany.com,R&D,76800,3,Canada,Quebec,46,Master's Degree
7PSJLHV2,David,Smith,david.evan@mycompany.com,Procurement,54200,3,USA,Detroit,35,Doctoral Degree
7ICBTBH5,Evan,Cunningham,evan.lawrence@mycompany.com,Manufacturing,30400,4,Canada,Toronto,30,Bachelor's Degree
3ZKXONU8,Lawrence,Mann,lawrence.gregory@mycompany.com,Procurement,65500,4,Canada,Montreal,34,Bachelor's Degree
4JKAKFV9,Gregory,Hayes,gregory.john@mycompany.com,Digital,65900,4,UK,Brighton,45,Master's Degree
2PFVXUQ5,John,Barber,john.gregory@mycompany.com,Manufacturing,30200,4,Canada,Toronto,63,Bachelor's Degree
5IHKBGY9,Gregory,Smith,gregory.richard@mycompany.com,Human Ressources,53300,5,UK,Brighton,65,Bachelor's Degree
6SYUCWB1,Richard,Nash,richard.sean@mycompany.com,Legal,64000,3,Canada,Toronto,49,Associate Degree
8GSASXT4,Sean,Dominguez,sean.mary@mycompany.com,Sales,68500,3,Canada,Quebec,56,Bachelor's Degree
4MRNGHH5,Mary,Carter,mary.jessica@mycompany.com,R&D,32000,4,UK,Brighton,24,Bachelor's Degree
2ZKTGAI6,Jessica,Brown,jessica.amy@mycompany.com,Procurement,68900,4,USA,San Fransisco,59,Certificate
1YDCPQH5,Amy,Mann,amy.amber@mycompany.com,Human Ressources,79000,3,USA,San Fransisco,58,Bachelor's Degree
6GGDBQQ8,Amber,Green,amber.jay@mycompany.com,Supply-Chain,79900,3,USA,Detroit,42,Associate Degree
5TJXAKA2,Jay,Martinez,jay.steven@mycompany.com,Procurement,73400,4,USA,Detroit,23,Bachelor's Degree
7ZZEWAT1,Steven,Blake,steven.matthew@mycompany.com,Human Ressources,56400,5,USA,San Fransisco,25,Bachelor's Degree
6PLQRAV6,Matthew,Jones,matthew.timothy@mycompany.com,Procurement,76900,3,USA,San Fransisco,65,Bachelor's Degree
9ACNFRP7,Timothy,Miller,timothy.wendy@mycompany.com,Human Ressources,50100,2,USA,San Fransisco,51,Bachelor's Degree
8BIWKXA6,Wendy,Woodward,wendy.emily@mycompany.com,Procurement,44600,2,Canada,Quebec,62,Associate Degree
5LUKQBM4,Emily,Becker,emily.sara@mycompany.com,Manufacturing,32400,2,Canada,Toronto,47,Master's Degree
4IPZTDC8,Sara,Jackson,sara.david@mycompany.com,Manufacturing,47400,5,UK,Birmingham,56,Bachelor's Degree
7GFFXGE5,David,Garcia,david.daniel@mycompany.com,Sales,65400,4,Canada,Montreal,39,Master's Degree
